lane,candidate_id,scope_type,scope_value,eligible_rows,scored_rows,coverage,seasons,spearman,spearman_ci_low,spearman_ci_high,rank_mae,ndcg,ndcg_top60,ndcg_primary_aggregate,ndcg_pooled_diagnostic,ndcg_top60_pooled_diagnostic,ndcg_row_weighted_mean,ndcg_median,ndcg_worst_season,ndcg_ci_low,ndcg_ci_high,ndcg_top60_row_weighted_mean,ndcg_top60_median,ndcg_top60_worst_season,ndcg_top60_ci_low,ndcg_top60_ci_high,top12_precision,top12_recall,top24_precision,top24_recall,top60_precision,top60_recall,severe_false_positives,severe_false_negatives,severe_errors,metric_status,review_only
WIN_NOW,W2_CONDITIONAL_PRODUCTION_AVAILABILITY,POSITION,TE,861,861,1.000000000,9,0.713063875,,,16.055749129,0.918781265,0.880436501,UNWEIGHTED_MEAN_OF_TARGET_SEASON_NDCG,0.940356400,0.795318364,0.918987223,0.918573694,0.898010967,0.909269494,0.928902626,0.880727624,0.879630432,0.851903548,0.865857946,0.896277868,0.500000000,0.500000000,0.694444444,0.694444444,0.824074074,0.824074074,0,0,0,SUPPORTED,True
WIN_NOW,W2_CONDITIONAL_PRODUCTION_AVAILABILITY,SEASON,2017,409,409,1.000000000,1,0.666726768,,,71.696821516,0.952107300,0.821998454,UNWEIGHTED_MEAN_OF_TARGET_SEASON_NDCG,0.952107300,0.821998454,0.952107300,0.952107300,0.952107300,,,0.821998454,0.821998454,0.821998454,,,0.333333333,0.333333333,0.458333333,0.458333333,0.566666667,0.566666667,4,2,6,SUPPORTED,True
WIN_NOW,W2_CONDITIONAL_PRODUCTION_AVAILABILITY,SEASON,2018,401,401,1.000000000,1,0.651854133,,,71.306733167,0.970844105,0.876006922,UNWEIGHTED_MEAN_OF_TARGET_SEASON_NDCG,0.970844105,0.876006922,0.970844105,0.970844105,0.970844105,,,0.876006922,0.876006922,0.876006922,,,0.500000000,0.500000000,0.416666667,0.416666667,0.466666667,0.466666667,3,5,8,SUPPORTED,True
WIN_NOW,W2_CONDITIONAL_PRODUCTION_AVAILABILITY,SEASON,2019,406,406,1.000000000,1,0.628103876,,,71.492610837,0.960814583,0.845697288,UNWEIGHTED_MEAN_OF_TARGET_SEASON_NDCG,0.960814583,0.845697288,0.960814583,0.960814583,0.960814583,,,0.845697288,0.845697288,0.845697288,,,0.166666667,0.166666667,0.375000000,0.375000000,0.583333333,0.583333333,4,2,6,SUPPORTED,True
WIN_NOW,W2_CONDITIONAL_PRODUCTION_AVAILABILITY,SEASON,2020,434,434,1.000000000,1,0.655633207,,,72.341013825,0.953556226,0.812188312,UNWEIGHTED_MEAN_OF_TARGET_SEASON_NDCG,0.953556226,0.812188312,0.953556226,0.953556226,0.953556226,,,0.812188312,0.812188312,0.812188312,,,0.333333333,0.333333333,0.416666667,0.416666667,0.483333333,0.483333333,7,2,9,SUPPORTED,True
WIN_NOW,W2_CONDITIONAL_PRODUCTION_AVAILABILITY,SEASON,2021,466,466,1.000000000,1,0.719170945,,,70.613733906,0.965413979,0.853100570,UNWEIGHTED_MEAN_OF_TARGET_SEASON_NDCG,0.965413979,0.853100570,0.965413979,0.965413979,0.965413979,,,0.853100570,0.853100570,0.853100570,,,0.250000000,0.250000000,0.458333333,0.458333333,0.566666667,0.566666667,3,4,7,SUPPORTED,True
WIN_NOW,W2_CONDITIONAL_PRODUCTION_AVAILABILITY,SEASON,2022,472,472,1.000000000,1,0.717703638,,,70.580508475,0.966743633,0.873207818,UNWEIGHTED_MEAN_OF_TARGET_SEASON_NDCG,0.966743633,0.873207818,0.966743633,0.966743633,0.966743633,,,0.873207818,0.873207818,0.873207818,,,0.500000000,0.500000000,0.458333333,0.458333333,0.616666667,0.616666667,0,0,0,SUPPORTED,True
WIN_NOW,W2_CONDITIONAL_PRODUCTION_AVAILABILITY,SEASON,2023,440,440,1.000000000,1,0.711717191,,,63.431818182,0.963490291,0.864833183,UNWEIGHTED_MEAN_OF_TARGET_SEASON_NDCG,0.963490291,0.864833183,0.963490291,0.963490291,0.963490291,,,0.864833183,0.864833183,0.864833183,,,0.333333333,0.333333333,0.458333333,0.458333333,0.633333333,0.633333333,2,4,6,SUPPORTED,True
WIN_NOW,W2_CONDITIONAL_PRODUCTION_AVAILABILITY,SEASON,2024,438,438,1.000000000,1,0.736526422,,,64.150684932,0.950790064,0.822505808,UNWEIGHTED_MEAN_OF_TARGET_SEASON_NDCG,0.950790064,0.822505808,0.950790064,0.950790064,0.950790064,,,0.822505808,0.822505808,0.822505808,,,0.083333333,0.083333333,0.208333333,0.208333333,0.566666667,0.566666667,6,3,9,SUPPORTED,True
WIN_NOW,W2_CONDITIONAL_PRODUCTION_AVAILABILITY,SEASON,2025,452,452,1.000000000,1,0.731022104,,,64.761061947,0.968659268,0.857428953,UNWEIGHTED_MEAN_OF_TARGET_SEASON_NDCG,0.968659268,0.857428953,0.968659268,0.968659268,0.968659268,,,0.857428953,0.857428953,0.857428953,,,0.500000000,0.500000000,0.500000000,0.500000000,0.516666667,0.516666667,5,2,7,SUPPORTED,True
WIN_NOW,W3_SHORT_HORIZON_CALIBRATED_BLEND,OVERALL,ALL,3918,3918,1.000000000,9,0.693438658,0.671272915,0.715237368,69.591628382,0.961442630,0.848152329,UNWEIGHTED_MEAN_OF_TARGET_SEASON_NDCG,0.975311265,0.744445975,0.961538287,0.963432411,0.951077203,0.956205007,0.966740287,0.848299141,0.846749780,0.815056423,0.835721937,0.864960301,0.314814815,0.314814815,0.421296296,0.421296296,0.555555556,0.555555556,31,24,55,SUPPORTED,True
WIN_NOW,W3_SHORT_HORIZON_CALIBRATED_BLEND,POSITION,QB,532,532,1.000000000,9,0.702889978,,,10.315789474,0.910825448,0.908957506,UNWEIGHTED_MEAN_OF_TARGET_SEASON_NDCG,0.944488039,0.792583398,0.912469023,0.900942452,0.873524074,0.894450059,0.927166021,0.910446736,0.900942452,0.873524074,0.897107303,0.923448786,0.574074074,0.574074074,0.750000000,0.750000000,0.972815534,0.972815534,0,0,0,SUPPORTED,True
WIN_NOW,W3_SHORT_HORIZON_CALIBRATED_BLEND,POSITION,RB,1000,1000,1.000000000,9,0.683651346,,,19.498000000,0.883388674,0.811377230,UNWEIGHTED_MEAN_OF_TARGET_SEASON_NDCG,0.917057158,0.673093707,0.883229937,0.892172513,0.845877283,0.864814972,0.898052249,0.810774624,0.806121628,0.760188781,0.788388476,0.835934564,0.444444444,0.444444444,0.611111111,0.611111111,0.766666667,0.766666667,0,0,0,SUPPORTED,True
WIN_NOW,W3_SHORT_HORIZON_CALIBRATED_BLEND,POSITION,WR,1525,1525,1.000000000,9,0.714592269,,,28.508852459,0.918634455,0.833589310,UNWEIGHTED_MEAN_OF_TARGET_SEASON_NDCG,0.939866953,0.704453076,0.918351631,0.919953045,0.878357459,0.905625706,0.930133483,0.833350525,0.829948940,0.803607099,0.817853509,0.850444286,0.435185185,0.435185185,0.601851852,0.601851852,0.714814815,0.714814815,4,2,6,SUPPORTED,True
WIN_NOW,W3_SHORT_HORIZON_CALIBRATED_BLEND,POSITION,TE,861,861,1.000000000,9,0.715313796,,,15.990708479,0.919148375,0.881113226,UNWEIGHTED_MEAN_OF_TARGET_SEASON_NDCG,0.941827985,0.793222339,0.919347412,0.918481371,0.897489381,0.910033497,0.929159962,0.881317384,0.877881482,0.854799041,0.866716282,0.897888941,0.509259259,0.509259259,0.694444444,0.694444444,0.827777778,0.827777778,0,0,0,SUPPORTED,True
WIN_NOW,W3_SHORT_HORIZON_CALIBRATED_BLEND,SEASON,2017,409,409,1.000000000,1,0.658289982,,,72.943765281,0.953604407,0.824740299,UNWEIGHTED_MEAN_OF_TARGET_SEASON_NDCG,0.953604407,0.824740299,0.953604407,0.953604407,0.953604407,,,0.824740299,0.824740299,0.824740299,,,0.333333333,0.333333333,0.458333333,0.458333333,0.566666667,0.566666667,4,2,6,SUPPORTED,True
WIN_NOW,W3_SHORT_HORIZON_CALIBRATED_BLEND,SEASON,2018,401,401,1.000000000,1,0.654598950,,,71.197007481,0.971468236,0.878081722,UNWEIGHTED_MEAN_OF_TARGET_SEASON_NDCG,0.971468236,0.878081722,0.971468236,0.971468236,0.971468236,,,0.878081722,0.878081722,0.878081722,,,0.500000000,0.500000000,0.458333333,0.458333333,0.466666667,0.466666667,3,5,8,SUPPORTED,True
WIN_NOW,W3_SHORT_HORIZON_CALIBRATED_BLEND,SEASON,2019,406,406,1.000000000,1,0.635056283,,,71.216748768,0.958174490,0.849013521,UNWEIGHTED_MEAN_OF_TARGET_SEASON_NDCG,0.958174490,0.849013521,0.958174490,0.958174490,0.958174490,,,0.849013521,0.849013521,0.849013521,,,0.250000000,0.250000000,0.375000000,0.375000000,0.583333333,0.583333333,4,2,6,SUPPORTED,True
WIN_NOW,W3_SHORT_HORIZON_CALIBRATED_BLEND,SEASON,2020,434,434,1.000000000,1,0.658183788,,,73.110599078,0.953011393,0.815056423,UNWEIGHTED_MEAN_OF_TARGET_SEASON_NDCG,0.953011393,0.815056423,0.953011393,0.953011393,0.953011393,,,0.815056423,0.815056423,0.815056423,,,0.333333333,0.333333333,0.416666667,0.416666667,0.500000000,0.500000000,6,2,8,SUPPORTED,True
WIN_NOW,W3_SHORT_HORIZON_CALIBRATED_BLEND,SEASON,2021,466,466,1.000000000,1,0.714817969,,,71.690987124,0.965376670,0.846749780,UNWEIGHTED_MEAN_OF_TARGET_SEASON_NDCG,0.965376670,0.846749780,0.965376670,0.965376670,0.965376670,,,0.846749780,0.846749780,0.846749780,,,0.250000000,0.250000000,0.416666667,0.416666667,0.533333333,0.533333333,2,4,6,SUPPORTED,True
WIN_NOW,W3_SHORT_HORIZON_CALIBRATED_BLEND,SEASON,2022,472,472,1.000000000,1,0.710728126,,,72.766949153,0.968136377,0.877074042,UNWEIGHTED_MEAN_OF_TARGET_SEASON_NDCG,0.968136377,0.877074042,0.968136377,0.968136377,0.968136377,,,0.877074042,0.877074042,0.877074042,,,0.416666667,0.416666667,0.458333333,0.458333333,0.616666667,0.616666667,0,0,0,SUPPORTED,True
WIN_NOW,W3_SHORT_HORIZON_CALIBRATED_BLEND,SEASON,2023,440,440,1.000000000,1,0.708763099,,,64.300000000,0.968702481,0.878289478,UNWEIGHTED_MEAN_OF_TARGET_SEASON_NDCG,0.968702481,0.878289478,0.968702481,0.968702481,0.968702481,,,0.878289478,0.878289478,0.878289478,,,0.333333333,0.333333333,0.416666667,0.416666667,0.633333333,0.633333333,2,3,5,SUPPORTED,True
WIN_NOW,W3_SHORT_HORIZON_CALIBRATED_BLEND,SEASON,2024,438,438,1.000000000,1,0.733247913,,,64.607305936,0.951077203,0.823750341,UNWEIGHTED_MEAN_OF_TARGET_SEASON_NDCG,0.951077203,0.823750341,0.951077203,0.951077203,0.951077203,,,0.823750341,0.823750341,0.823750341,,,0.083333333,0.083333333,0.291666667,0.291666667,0.583333333,0.583333333,5,3,8,SUPPORTED,True
WIN_NOW,W3_SHORT_HORIZON_CALIBRATED_BLEND,SEASON,2025,452,452,1.000000000,1,0.731871571,,,64.796460177,0.963432411,0.840615355,UNWEIGHTED_MEAN_OF_TARGET_SEASON_NDCG,0.963432411,0.840615355,0.963432411,0.963432411,0.963432411,,,0.840615355,0.840615355,0.840615355,,,0.333333333,0.333333333,0.500000000,0.500000000,0.516666667,0.516666667,5,3,8,SUPPORTED,True
