field_id,candidate,bucket,rows,predicted_mean,actual_rate,absolute_calibration_error
QB_T12_WITHIN_5Y,C1_REGULARIZED_LOGISTIC,0.6-0.7,22,0.6461529901,0.5454545455,0.1006984446
QB_T12_WITHIN_5Y,C1_REGULARIZED_LOGISTIC,0.7-0.8,32,0.7497655985,0.7500000000,0.0002344015
QB_T12_WITHIN_5Y,C1_REGULARIZED_LOGISTIC,0.8-0.9,25,0.8623124859,0.7200000000,0.1423124859
QB_T12_WITHIN_5Y,C1_REGULARIZED_LOGISTIC,0.9-1.0,60,0.9428376720,0.9500000000,0.0071623280
QB_T12_WITHIN_5Y,C2_BETA_CALIBRATION,0.3-0.4,11,0.3803721864,0.3636363636,0.0167358228
QB_T12_WITHIN_5Y,C2_BETA_CALIBRATION,0.4-0.5,6,0.4017894299,0.1666666667,0.2351227632
QB_T12_WITHIN_5Y,C2_BETA_CALIBRATION,0.5-0.6,6,0.5813110896,1.0000000000,0.4186889104
QB_T12_WITHIN_5Y,C2_BETA_CALIBRATION,0.6-0.7,22,0.6481848414,0.5454545455,0.1027302960
QB_T12_WITHIN_5Y,C2_BETA_CALIBRATION,0.7-0.8,32,0.7497277068,0.7500000000,0.0002722932
QB_T12_WITHIN_5Y,C2_BETA_CALIBRATION,0.8-0.9,25,0.8593233446,0.7200000000,0.1393233446
QB_T12_WITHIN_5Y,C2_BETA_CALIBRATION,0.9-1.0,60,0.9428376720,0.9500000000,0.0071623280
QB_T12_WITHIN_5Y,C3_ISOTONIC_MONOTONIC,0.3-0.4,11,0.3803721864,0.3636363636,0.0167358228
QB_T12_WITHIN_5Y,C3_ISOTONIC_MONOTONIC,0.4-0.5,6,0.4017894299,0.1666666667,0.2351227632
QB_T12_WITHIN_5Y,C3_ISOTONIC_MONOTONIC,0.5-0.6,8,0.5729782667,1.0000000000,0.4270217333
QB_T12_WITHIN_5Y,C3_ISOTONIC_MONOTONIC,0.6-0.7,20,0.6469015388,0.5000000000,0.1469015388
QB_T12_WITHIN_5Y,C3_ISOTONIC_MONOTONIC,0.7-0.8,32,0.7476428486,0.7500000000,0.0023571514
QB_T12_WITHIN_5Y,C3_ISOTONIC_MONOTONIC,0.8-0.9,18,0.8567596609,0.6111111111,0.2456485498
QB_T12_WITHIN_5Y,C3_ISOTONIC_MONOTONIC,0.9-1.0,67,0.9407597512,0.9552238806,0.0144641294
QB_T6_NEXT_YEAR,C0_CURRENT_PROFILE_BUCKET_BASELINE,0.0-0.1,218,0.0469516205,0.0366972477,0.0102543728
QB_T6_NEXT_YEAR,C0_CURRENT_PROFILE_BUCKET_BASELINE,0.1-0.2,39,0.1677338968,0.1794871795,0.0117532827
QB_T6_NEXT_YEAR,C0_CURRENT_PROFILE_BUCKET_BASELINE,0.2-0.3,6,0.2032033123,0.1666666667,0.0365366456
QB_T6_NEXT_YEAR,C0_CURRENT_PROFILE_BUCKET_BASELINE,0.3-0.4,34,0.3601918828,0.4117647059,0.0515728230
QB_T6_NEXT_YEAR,C1_REGULARIZED_LOGISTIC,0.0-0.1,218,0.0469516205,0.0366972477,0.0102543728
QB_T6_NEXT_YEAR,C1_REGULARIZED_LOGISTIC,0.1-0.2,39,0.1677338968,0.1794871795,0.0117532827
QB_T6_NEXT_YEAR,C1_REGULARIZED_LOGISTIC,0.2-0.3,6,0.2032033123,0.1666666667,0.0365366456
