field_id,position,threshold,horizon,event_window_offsets,minimum_qualifying_seasons,target_rows,labeled_rows,positive_events,negative_events,event_rate,complete_rows,positive_before_censoring_rows,negative_complete_rows,insufficient_rows,right_censored_rows,inactive_rows,retired_rows,missing_player_season_rows,anchor_seasons,identity_authority,sample_gate
WR_T36_TWO_OF_NEXT_3Y,WR,36,TWO_OF_NEXT_3Y,0|1|2,2,2124,1031,330,701,0.3200775946,1001,30,701,770,323,0,0,814,2013-2024,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
WR_T36_T_PLUS_2,WR,36,T_PLUS_2,2,1,2124,1001,260,741,0.2597402597,1001,0,741,776,347,0,0,776,2013-2023,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
WR_T36_WITHIN_3Y,WR,36,WITHIN_3Y,0|1|2,1,2124,1122,603,519,0.5374331551,1001,121,519,737,265,0,0,814,2013-2025,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
WR_T36_WITHIN_5Y,WR,36,WITHIN_5Y,0|1|2|3|4,1,2124,771,621,150,0.8054474708,452,319,150,826,527,0,0,1189,2013-2025,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
WR_T6_NEXT_YEAR,WR,6,NEXT_YEAR,1,1,2124,1470,66,1404,0.0448979592,1470,0,1404,478,176,0,0,478,2013-2024,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
WR_T6_THIS_YEAR,WR,6,THIS_YEAR,0,1,2124,2124,78,2046,0.0367231638,2124,0,2046,0,0,0,0,0,2013-2025,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
WR_T6_TWO_OF_NEXT_3Y,WR,6,TWO_OF_NEXT_3Y,0|1|2,2,2124,1003,45,958,0.0448654038,1001,2,958,776,345,0,0,814,2013-2024,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
WR_T6_T_PLUS_2,WR,6,T_PLUS_2,2,1,2124,1001,45,956,0.0449550450,1001,0,956,776,347,0,0,776,2013-2023,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
WR_T6_WITHIN_3Y,WR,6,WITHIN_3Y,0|1|2,1,2124,1022,129,893,0.1262230920,1001,21,893,771,331,0,0,814,2013-2025,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
WR_T6_WITHIN_5Y,WR,6,WITHIN_5Y,0|1|2|3|4,1,2124,504,142,362,0.2817460317,452,52,362,960,660,0,0,1189,2013-2025,exact GSIS player_id,rows>=100; positives>=20; negatives>=20; seasons>=5
