nwr_player_id,field_id,released_probability,probability_pre_projection,projection_delta,selected_calibrator,c0_probability,classification,reason_code,player_name,position,age,finished_v1_rank,probability_delta_vs_c0,absolute_probability_delta_vs_c0
11571,RB_T36_THIS_YEAR,0.1666666667,0.1666666667,0.0000000000,C3_ISOTONIC_MONOTONIC,0.2613926304,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Isaiah Davis,RB,,201,-0.0947259637,0.0947259637
11575,RB_T36_THIS_YEAR,0.1666666667,0.1666666667,0.0000000000,C3_ISOTONIC_MONOTONIC,0.2613926304,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Ray Davis,RB,,204,-0.0947259637,0.0947259637
8122,RB_T36_THIS_YEAR,0.1666666667,0.1666666667,0.0000000000,C3_ISOTONIC_MONOTONIC,0.2613926304,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Zonovan Knight,RB,,214,-0.0947259637,0.0947259637
9757,RB_T36_THIS_YEAR,0.1666666667,0.1666666667,0.0000000000,C3_ISOTONIC_MONOTONIC,0.2613926304,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Kendre Miller,RB,,215,-0.0947259637,0.0947259637
11199,RB_T36_THIS_YEAR,0.1666666667,0.1666666667,0.0000000000,C3_ISOTONIC_MONOTONIC,0.2613926304,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Emari Demercado,RB,,218,-0.0947259637,0.0947259637
9511,RB_T36_THIS_YEAR,0.1666666667,0.1666666667,0.0000000000,C3_ISOTONIC_MONOTONIC,0.2613926304,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Keaton Mitchell,RB,,220,-0.0947259637,0.0947259637
4219,RB_T36_THIS_YEAR,0.1666666667,0.1666666667,0.0000000000,C3_ISOTONIC_MONOTONIC,0.2613926304,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Jeremy McNichols,RB,,222,-0.0947259637,0.0947259637
4988,RB_T36_THIS_YEAR,0.1666666667,0.1666666667,0.0000000000,C3_ISOTONIC_MONOTONIC,0.2613926304,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Nick Chubb,RB,,223,-0.0947259637,0.0947259637
9225,RB_T36_THIS_YEAR,0.1666666667,0.1666666667,0.0000000000,C3_ISOTONIC_MONOTONIC,0.2613926304,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Tank Bigsby,RB,,225,-0.0947259637,0.0947259637
11589,RB_T36_WITHIN_3Y,0.2647058824,0.2647058824,0.0000000000,C3_ISOTONIC_MONOTONIC,0.3578374411,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Trey Benson,RB,,192,-0.0931315588,0.0931315588
