model_id,split,target_seasons,position,sample_size,mae_points,rmse_points,spearman_points,top_n_label,top_n,top_n_hit_rate,result_source
position_specific_usage,season_2022,2022,TE,99,18.679751134737707,24.330741101283007,0.7610125851906276,te_t12,12,0.4166666666666667,candidate
position_specific_usage,season_2022,2022,WR,186,29.857064123916306,36.99750988416975,0.7402402367506726,wr_t36,36,0.6388888888888888,candidate
position_specific_usage,season_2023,2023,QB,63,66.60768710176843,85.56209702056721,0.574644777265745,qb_t12,12,0.4166666666666667,candidate
position_specific_usage,season_2023,2023,RB,115,43.435524006177495,58.74854335512905,0.6327316147831106,rb_t24,24,0.5,candidate
position_specific_usage,season_2023,2023,TE,96,19.107099222343034,24.623666054534805,0.7716876401151384,te_t12,12,0.5,candidate
position_specific_usage,season_2023,2023,WR,166,27.681539865765785,36.360707280567794,0.7720387835979544,wr_t36,36,0.6666666666666666,candidate
position_specific_usage,season_2024,2024,QB,63,62.57698289285166,81.33232196072986,0.5908218125960062,qb_t12,12,0.5,candidate
position_specific_usage,season_2024,2024,RB,108,43.8392187590644,60.79821233202298,0.7348794673173455,rb_t24,24,0.6666666666666666,candidate
position_specific_usage,season_2024,2024,TE,96,20.617383238260043,27.84692683289763,0.7080046419297238,te_t12,12,0.3333333333333333,candidate
position_specific_usage,season_2024,2024,WR,171,30.902975526768646,39.400699783507626,0.7184496777746093,wr_t36,36,0.6388888888888888,candidate
position_specific_usage,season_2025,2025,QB,63,56.339140175732496,71.77247641831369,0.7059331797235023,qb_t12,12,0.5,candidate
position_specific_usage,season_2025,2025,RB,106,41.035765445161324,57.511652235964974,0.7307069317778475,rb_t24,24,0.5833333333333334,candidate
position_specific_usage,season_2025,2025,TE,107,17.23904591597255,23.230185274532776,0.7809736574151533,te_t12,12,0.4166666666666667,candidate
position_specific_usage,season_2025,2025,WR,176,29.143543018415087,39.11731116566894,0.705719787195961,wr_t36,36,0.5833333333333334,candidate
prior_points,season_2021,2021,QB,61,53.89901294280618,69.23805877526448,0.7128503437334743,qb_t12,12,0.6666666666666666,candidate
prior_points,season_2021,2021,RB,121,40.37364347993793,53.3589203869401,0.6633043961292114,rb_t24,24,0.5,candidate
prior_points,season_2021,2021,TE,97,21.21242661555341,28.775873683566196,0.720358366519085,te_t12,12,0.4166666666666667,candidate
prior_points,season_2021,2021,WR,187,32.530715957497435,43.567452720153526,0.6619307501230903,wr_t36,36,0.6388888888888888,candidate
prior_points,season_2022,2022,QB,67,49.56625468592823,64.44881430879285,0.780405068498177,qb_t12,12,0.5833333333333334,candidate
prior_points,season_2022,2022,RB,120,42.95578663404165,57.18164131420033,0.688472957759383,rb_t24,24,0.625,candidate
prior_points,season_2022,2022,TE,99,17.657144666822045,22.47938785450937,0.770350483279211,te_t12,12,0.5,candidate
prior_points,season_2022,2022,WR,186,29.525885041324038,37.290349992278635,0.7389737271456059,wr_t36,36,0.6666666666666666,candidate
prior_points,season_2023,2023,QB,63,65.39705299315749,84.56815451958111,0.5701324884792627,qb_t12,12,0.5,candidate
prior_points,season_2023,2023,RB,115,44.15301957314776,58.942140081591965,0.6317503799785135,rb_t24,24,0.5,candidate
prior_points,season_2023,2023,TE,96,18.67844285107591,23.829517432677378,0.7654637288182995,te_t12,12,0.6666666666666666,candidate
prior_points,season_2023,2023,WR,166,27.965593169470917,36.55522805706859,0.7747740166805156,wr_t36,36,0.6388888888888888,candidate
prior_points,season_2024,2024,QB,63,61.48438586595336,80.06079092830707,0.6002304147465438,qb_t12,12,0.5,candidate
prior_points,season_2024,2024,RB,108,43.75559315504906,61.8400680582749,0.7388974117588077,rb_t24,24,0.625,candidate
prior_points,season_2024,2024,TE,96,19.95123623667035,26.99143109670877,0.712304931981399,te_t12,12,0.3333333333333333,candidate
prior_points,season_2024,2024,WR,171,30.619355533844796,39.404532640629085,0.7276095514721506,wr_t36,36,0.6111111111111112,candidate
prior_points,season_2025,2025,QB,63,56.40006148077079,72.61034664248214,0.7191340245775729,qb_t12,12,0.5833333333333334,candidate
prior_points,season_2025,2025,RB,106,41.25665718726309,57.582877254316166,0.7212895880093311,rb_t24,24,0.5833333333333334,candidate
prior_points,season_2025,2025,TE,107,18.71565862245737,24.93754859857419,0.7605768075599401,te_t12,12,0.4166666666666667,candidate
prior_points,season_2025,2025,WR,176,28.64983146132116,38.94142248574177,0.7121017180677772,wr_t36,36,0.5833333333333334,candidate
prior_ppg_times_games_sqrt,season_2021,2021,QB,61,55.4359011228586,70.87024852699219,0.7145425700687467,qb_t12,12,0.6666666666666666,candidate
prior_ppg_times_games_sqrt,season_2021,2021,RB,121,39.58439337631485,52.2119826455586,0.6749232822371883,rb_t24,24,0.5,candidate
prior_ppg_times_games_sqrt,season_2021,2021,TE,97,20.257919782613158,27.7343010899999,0.738410495577595,te_t12,12,0.5,candidate
prior_ppg_times_games_sqrt,season_2021,2021,WR,187,32.37553486379763,43.592226945619544,0.6674635054017447,wr_t36,36,0.5833333333333334,candidate
prior_ppg_times_games_sqrt,season_2022,2022,QB,67,48.57769021321579,64.77164007919963,0.7764065010213715,qb_t12,12,0.5833333333333334,candidate
prior_ppg_times_games_sqrt,season_2022,2022,RB,120,41.85011629157198,55.242350310337564,0.6916143908586324,rb_t24,24,0.625,candidate
prior_ppg_times_games_sqrt,season_2022,2022,TE,99,17.14717330594573,22.13599973495138,0.7643779789391197,te_t12,12,0.5833333333333334,candidate
prior_ppg_times_games_sqrt,season_2022,2022,WR,186,29.26658033312785,37.28512491365364,0.7399975569107182,wr_t36,36,0.6388888888888888,candidate
prior_ppg_times_games_sqrt,season_2023,2023,QB,63,65.27164899764027,83.17645411138382,0.5918778801843319,qb_t12,12,0.5,candidate
prior_ppg_times_games_sqrt,season_2023,2023,RB,115,43.99882416706753,58.52990238675873,0.6201144668400458,rb_t24,24,0.4583333333333333,candidate
prior_ppg_times_games_sqrt,season_2023,2023,TE,96,18.724894652142282,24.026556705153688,0.7644231549794988,te_t12,12,0.6666666666666666,candidate
prior_ppg_times_games_sqrt,season_2023,2023,WR,166,27.55508468297789,36.12519522018209,0.7904039108643932,wr_t36,36,0.6944444444444444,candidate
prior_ppg_times_games_sqrt,season_2024,2024,QB,63,62.82081811731678,81.82799762563397,0.592357910906298,qb_t12,12,0.4166666666666667,candidate
prior_ppg_times_games_sqrt,season_2024,2024,RB,108,42.71461610382852,61.21838078058447,0.7507580760986093,rb_t24,24,0.7083333333333334,candidate
